uid,final_equity,net_pnl,winrate,num_trades,avg_trade,max_drawdown,expectancy,score,valid,notional_violations,params
0,10000.0,0.0,0.0,0,0.0,0.0,0.0,1.0,True,0,"{""HTF_EMA"": 47, ""MID_EMA"": 42, ""PIVOT_L"": 5, ""PIVOT_R"": 4, ""ZONE_ATR_MULT"": 1.7878968798670738, ""SWING_LOOKBACK"": 3, ""VOL_SMA_LEN"": 31, ""VOL_MULT"": 1.1412660218314743, ""TP_RR"": 2.951244703273512, ""STOP_ATR_MULT"": 2.4028492549758824, ""RISK_PCT"": 1.6256125342346692}"
1,10000.0,0.0,0.0,0,0.0,0.0,0.0,1.0,True,0,"{""HTF_EMA"": 81, ""MID_EMA"": 16, ""PIVOT_L"": 6, ""PIVOT_R"": 4, ""ZONE_ATR_MULT"": 1.056197036348872, ""SWING_LOOKBACK"": 4, ""VOL_SMA_LEN"": 38, ""VOL_MULT"": 1.9657976801209969, ""TP_RR"": 2.64552322654166, ""STOP_ATR_MULT"": 1.6085354970683279, ""RISK_PCT"": 0.6476677631233596}"
2,10000.0,0.0,0.0,0,0.0,0.0,0.0,1.0,True,0,"{""HTF_EMA"": 47, ""MID_EMA"": 33, ""PIVOT_L"": 6, ""PIVOT_R"": 2, ""ZONE_ATR_MULT"": 1.741446757988873, ""SWING_LOOKBACK"": 5, ""VOL_SMA_LEN"": 29, ""VOL_MULT"": 2.1371316101280606, ""TP_RR"": 1.7090519362597367, ""STOP_ATR_MULT"": 2.9267450609872583, ""RISK_PCT"": 1.812961962313846}"
3,10000.0,0.0,0.0,0,0.0,0.0,0.0,1.0,True,0,"{""HTF_EMA"": 94, ""MID_EMA"": 42, ""PIVOT_L"": 5, ""PIVOT_R"": 2, ""ZONE_ATR_MULT"": 1.2000815055905512, ""SWING_LOOKBACK"": 7, ""VOL_SMA_LEN"": 11, ""VOL_MULT"": 1.2314342381013217, ""TP_RR"": 2.3660979064849093, ""STOP_ATR_MULT"": 2.361905389769543, ""RISK_PCT"": 1.9431420317598675}"
4,10000.0,0.0,0.0,0,0.0,0.0,0.0,1.0,True,0,"{""HTF_EMA"": 73, ""MID_EMA"": 24, ""PIVOT_L"": 6, ""PIVOT_R"": 3, ""ZONE_ATR_MULT"": 1.2043337169137118, ""SWING_LOOKBACK"": 10, ""VOL_SMA_LEN"": 15, ""VOL_MULT"": 1.1948822580032075, ""TP_RR"": 1.9514098524518675, ""STOP_ATR_MULT"": 1.0672733726272103, ""RISK_PCT"": 1.4221744906943932}"
5,10000.0,0.0,0.0,0,0.0,0.0,0.0,1.0,True,0,"{""HTF_EMA"": 116, ""MID_EMA"": 29, ""PIVOT_L"": 2, ""PIVOT_R"": 6, ""ZONE_ATR_MULT"": 1.5503976530033736, ""SWING_LOOKBACK"": 3, ""VOL_SMA_LEN"": 19, ""VOL_MULT"": 2.2483897020928016, ""TP_RR"": 2.609528714993604, ""STOP_ATR_MULT"": 1.4686959475754362, ""RISK_PCT"": 0.7545741818779272}"
6,10000.0,0.0,0.0,0,0.0,0.0,0.0,1.0,True,0,"{""HTF_EMA"": 59, ""MID_EMA"": 38, ""PIVOT_L"": 5, ""PIVOT_R"": 2, ""ZONE_ATR_MULT"": 0.7998623037126624, ""SWING_LOOKBACK"": 11, ""VOL_SMA_LEN"": 10, ""VOL_MULT"": 2.1803865662532074, ""TP_RR"": 2.3297017131840643, ""STOP_ATR_MULT"": 2.262913446565838, ""RISK_PCT"": 1.6162758042884438}"
7,10000.0,0.0,0.0,0,0.0,0.0,0.0,1.0,True,0,"{""HTF_EMA"": 85, ""MID_EMA"": 29, ""PIVOT_L"": 4, ""PIVOT_R"": 4, ""ZONE_ATR_MULT"": 0.7096954971914862, ""SWING_LOOKBACK"": 5, ""VOL_SMA_LEN"": 13, ""VOL_MULT"": 2.0026044426857075, ""TP_RR"": 1.942192412286265, ""STOP_ATR_MULT"": 1.913090266202972, ""RISK_PCT"": 1.5887480004780448}"
8,10000.0,0.0,0.0,0,0.0,0.0,0.0,1.0,True,0,"{""HTF_EMA"": 86, ""MID_EMA"": 36, ""PIVOT_L"": 4, ""PIVOT_R"": 4, ""ZONE_ATR_MULT"": 1.3388107411181203, ""SWING_LOOKBACK"": 10, ""VOL_SMA_LEN"": 19, ""VOL_MULT"": 1.046226751851909, ""TP_RR"": 1.8734347784647247, ""STOP_ATR_MULT"": 1.036461682048823, ""RISK_PCT"": 0.9649251265181132}"
9,10000.0,0.0,0.0,0,0.0,0.0,0.0,1.0,True,0,"{""HTF_EMA"": 120, ""MID_EMA"": 45, ""PIVOT_L"": 2, ""PIVOT_R"": 3, ""ZONE_ATR_MULT"": 0.587454112533599, ""SWING_LOOKBACK"": 11, ""VOL_SMA_LEN"": 18, ""VOL_MULT"": 1.4403906366500254, ""TP_RR"": 2.32383302945379, ""STOP_ATR_MULT"": 1.8925803808531958, ""RISK_PCT"": 1.6218218659362236}"
